820791520	9361	9363
828866387	568	589
821040551	862	872
813552066	3742	3748
817176202	1967	1978
820419869	302	304
833052347	3065	3085
832918490	337	359
813494037	178	189
833053676	532	548
815412286	1890	1903
832984694	379	384
830821478	2122	2145
833018464	953	963
817408115	3910	3915
833036176	2847	2864
816460196	4550	4557
813547724	1632	1635
813603860	3823	3846
824658990	2797	2809
832947554	751	775
832920387	536	556
813949697	4625	4645
833050243	2779	2798
833053628	2808	2833
833028932	2848	2850
814251296	2474	2480
824256050	3180	3187
833036489	760	770
814427361	636	648
832269185	430	435
832940138	6661	6665
813953435	2185	2206
821744708	1582	1605
814777937	1784	1794
833032367	2977	2979
833039623	6449	6455
833032366	1582	1602
832959523	254	259
833028680	748	768
815858385	1375	1381
814435435	1493	1515
833041409	1178	1201
814403783	2087	2092
833024133	613	628
833024696	2418	2431
833042063	1299	1304
814403543	147	152
814404002	2550	2556
833021113	989	1013
832941978	6322	6329
813601978	3733	3736
832971448	4244	4249
817190270	2324	2339
832931332	656	657
832956618	3333	3349
833013834	3437	3447
818141325	1652	1662
822942601	190	207
832926076	4626	4628
832947852	232	238
830359423	2919	2928
813714967	3877	3902
833028146	1223	1233
832934428	681	705
817449755	3581	3597
830153674	86	111
829267754	4503	4512
833067493	714	720
824684605	2879	2891
814630609	3285	3304
830359136	12	32
813452859	2385	2406
833040400	1058	1082
822295249	717	728
814371058	290	311
824350729	484	497
816720060	6742	6759
816720060	6744	6766
816720060	6747	6749
813602345	1681	1699
822220578	4727	4749
832933796	1362	1374
830274102	1365	1374
813992175	2791	2812
814403875	619	621
832947600	630	639
829815104	5385	5409
817147979	4021	4031
813623212	5304	5320
832948083	7147	7155
813953273	2806	2825
