788271400	30	62
788271400	114	158
788271400	182	193
788271400	259	298
788271400	435	449
788271400	1013	1034
788271400	1602	1612
788271400	2278	2287
788271400	2315	2324
788271400	2584	2603
788271400	2616	2657
788271400	2682	2707
788271400	2758	2785
788271400	2786	2814
788271400	2966	2972
788271400	3013	3040
788271400	3167	3198
788271400	3441	3455
788271400	3650	3662
788271400	3792	3810
788271400	3868	3885
788271400	3889	3935
788271400	4028	4047
788271400	4100	4132
788271400	4256	4266
788271400	4553	4569
788271400	4619	4663
788271400	4668	4711
788271400	4805	4832
788271400	4889	4906
738447109	0	18
738447109	102	120
738447109	335	359
738447109	419	447
738447109	480	509
738447109	733	760
738447109	1000	1027
738447109	1333	1355
738447109	1830	1850
738447109	1861	1885
738447109	1897	1943
738447109	1949	1967
738447109	2465	2483
738447109	3240	3247
738447109	3446	3485
738447109	3547	3556
738447109	3638	3658
738447109	3667	3684
738447109	3952	3967
738447109	3976	3993
738447109	4106	4117
738447109	4179	4194
738447109	4203	4220
738447109	4333	4344
738447109	4437	4449
738447109	4479	4504
738447109	4546	4562
738447109	4669	4681
738447109	4711	4737
738447109	4778	4794
738447109	5790	5820
738447109	5850	5879
738447109	6080	6129
738447109	6155	6167
738447109	6168	6208
730081389	1309	1326
778094905	378	387
778094905	1545	1580
778094905	3350	3363
778094905	3472	3512
778094905	3513	3568
778094905	3651	3694
832908905	16	38
832908905	588	608
832908905	1922	1941
832908905	2124	2138
832908905	2443	2462
832908905	2746	2759
832908905	2791	2829
832908905	2842	2856
832908905	2899	2945
832908905	2963	2976
832908905	3104	3141
832908905	3488	3503
832908905	3852	3870
832908905	3879	3926
832908905	3955	3986
832913316	798	848
832913316	880	894
832913316	1088	1108
832913316	1257	1276
832913316	1480	1489
832913316	1588	1616
832913316	1722	1733
832913316	1813	1830
738028498	0	32
738028498	53	77
738028498	128	158
738028498	311	328
738028498	329	370
738028498	415	424
738028498	686	739
738028498	745	749
738028498	1035	1052
738028498	1134	1165
738028498	1168	1188
738028498	1291	1320
738028498	1413	1428
738028498	1487	1532
738028498	1538	1553
738028498	1559	1591
738028498	1680	1691
738028498	1696	1702
738028498	1759	1813
738028498	1829	1864
738028498	1882	1904
738028498	1923	1949
738028498	2001	2006
738028498	2206	2214
738028498	2254	2281
738028498	2340	2347
738028498	2435	2446
832916508	0	4
832916508	58	72
832916508	336	350
832916508	936	950
832916508	1023	1046
738361208	37	53
738361208	257	263
738361208	368	395
738361208	557	581
738361208	594	620
738361208	691	704
738361208	925	945
738361208	1002	1039
738361208	1139	1169
738361208	1198	1218
738361208	1363	1388
738361208	1426	1438
738361208	1535	1577
738361208	1651	1659
738361208	1696	1734
738361208	1752	1764
738361208	2234	2253
738361208	2364	2395
738361208	2396	2423
